"","pid","parliament_number","name","dob","gender","start_date","end_date","riding_name","province","party_name","speaking_words","num_bills_passed","num_bills_failed","election_number"
"71",697,37,"Gilbert Barrette","","M","2002-09-30","2004-05-23","Témiscamingue","QC","Lib",5134,0,0,38
"72",194,38,"Joe McGuire","1944-06-20","M","1994-01-17","2008-09-07","Egmont","PE","Lib",5143,0,0,39
"73",238,36,"Marcel Proulx","1946-03-06","M","1999-10-12","2011-03-26","Hull--Aylmer","QC","Lib",5214,0,0,37
"74",5177,37,"Jean Guy Carignan","","M","2001-01-29","2004-05-23","Québec East","QC","Lib",5222,0,0,38
"75",35,38,"Raymond Bonin","1942-11-20","M","2001-01-29","2008-09-07","Nickel Belt","ON","Lib",5352,0,2,39
"76",224,38,"Bernard Patry","1943-01-30","M","1994-01-17","2011-03-26","Pierrefonds--Dollard","QC","Lib",5390,0,0,39
"77",140,35,"Charles Hubbard","1940-10-29","M","1994-01-17","2008-09-07","Miramichi","NB","Lib",5397,0,0,36
"78",7776,35,"Gilles Bernier","","M","1994-01-17","1997-04-27","Beauce","QC","Ind.",5518,0,0,36
"79",5161,37,"Robert Bertrand","","M","1994-01-17","2004-05-23","Pontiac--Gatineau--Labelle","QC","Lib",5740,0,1,38
"80",150,36,"Jim Karygiannis","1955-05-02","M","1994-01-17","2014-04-01","Scarborough--Agincourt","ON","Lib",5823,0,0,37
"81",4655,35,"Bob Wood","","M","1994-01-17","2004-05-23","Nipissing","ON","Lib",5888,0,0,36
"82",259,38,"Andy Scott","1955-03-16","M","1997-09-22","2008-09-07","Fredericton","NB","Lib",5938,0,5,39
"83",4830,36,"Ben Serré","","M","1997-09-22","2004-05-23","Timiskaming--Cochrane","ON","Lib",5979,0,0,37
"84",106,36,"Joe Fontana","1950-01-13","M","1997-09-22","2006-11-27","London North Centre","ON","Lib",5993,0,0,37
"85",2993,38,"David Kilgour","","M","2004-10-04","2005-04-12","Edmonton--Beaumont","AB","Lib",6036,0,0,39
"86",264,37,"Raymond Simard","1958-03-08","M","2001-01-29","2008-09-07","Saint Boniface","MB","Lib",6066,0,0,38
"87",72,36,"Irwin Cotler","1940-05-08","M","1999-10-12","2015-10-19","Mount Royal","QC","Lib",6118,0,0,37
"88",3925,37,"Preston Manning","","M","2001-01-29","2004-05-23","Calgary Southwest","AB","CA",6189,0,0,38
"89",4835,36,"Réginald Bélair","","M","1997-09-22","2004-05-23","Timmins--James Bay","ON","Lib",6240,0,0,37
"90",62,38,"Raymond Chan","1951-10-25","M","2004-10-04","2008-09-07","Richmond","BC","Lib",6568,0,0,39
"91",4646,35,"Gary Pillitteri","","M","1994-01-17","2004-05-23","Niagara Falls","ON","Lib",6631,0,0,36
"92",47,38,"Bonnie Brown","1960-08-31","F","1997-09-22","2008-09-07","Oakville","ON","Lib",6680,0,0,39
"93",2293,38,"Aileen Carroll","","F","2004-10-04","2005-11-29","Barrie","ON","Lib",6689,0,0,39
"94",6313,36,"Réjean Lefebvre","","M","1994-01-17","2000-10-22","Champlain","QC","B.Q.",6752,0,0,37
"95",3229,37,"Claudette Bradshaw","","F","2001-01-29","2005-11-29","Moncton--Riverview--Dieppe","NB","Lib",6906,0,0,38
"96",260,36,"Judy Sgro","1944-12-16","F","1999-10-12","2015-10-19","York West","ON","Lib",6913,0,0,37
"97",53,38,"Serge Cardin","1950-07-02","M","1997-09-22","2011-03-26","Sherbrooke","QC","B.Q.",6917,0,0,39
"98",217,41,"Bev Oda","1944-07-27","F","2006-04-03","2012-07-31","Durham","ON","C",6938,0,0,42
"99",2829,38,"David Smith","","M","2004-10-04","2005-11-29","Pontiac","QC","Lib",6953,0,0,39
"100",245,41,"Lee Richardson","1947-10-31","M","2006-04-03","2012-06-06","Calgary Centre","AB","C",7090,0,0,42
"101",549,39,"Martha Hall Findlay","1959-08-17","F","2008-03-18","2011-03-26","Willowdale","ON","Lib",7153,0,0,40
"102",56,38,"Robert Carrier","1941-06-03","M","2004-10-04","2011-03-26","Alfred-Pellan","QC","B.Q.",7245,0,0,39
"103",8034,35,"David Berger","","M","1994-01-17","1997-04-27","Saint-Henri--Westmount","QC","Lib",7308,0,0,36
"104",5282,35,"Raymond Lavigne","","M","1994-01-17","1997-04-27","Verdun--Saint-Paul","QC","Lib",7336,0,0,36
"105",9276,41,"David Yurdiga","","M","2014-06-30","2015-10-19","Fort McMurray--Athabasca","AB","C",7350,0,0,42
"106",4697,36,"Eugène Bellemare","","M","1994-01-17","2000-10-22","Carleton--Gloucester","ON","Lib",7549,0,0,37
"107",3709,37,"Christian Jobin","","M","2002-09-30","2004-05-23","Lévis-Et-Chutes-De-La-Chaudière","QC","Lib",7579,0,0,38
"108",248,38,"Pablo Rodriguez","1967-06-21","M","2004-10-04","2011-03-26","Honoré-Mercier","QC","Lib",7579,0,0,39
"109",7,41,"Rob Anders","1972-04-01","M","2011-05-02","2015-10-19","Calgary West","AB","C",7614,0,1,42
"110",8353,40,"Robert Sopuck","","M","2010-12-06","2015-10-19","Dauphin--Swan River--Marquette","MB","C",7625,0,0,41
"111",61,39,"Brenda Chamberlain","1952-04-09","F","2004-10-04","2008-09-07","Guelph","ON","Lib",7665,0,0,40
"112",7665,35,"Peter Thalheimer","","M","1994-01-17","1997-04-27","Timmins--Chapleau","ON","Lib",7673,0,0,36
"113",559,40,"Keith Ashfield","1952-03-28","M","2008-11-18","2015-10-19","Fredericton","NB","C",7699,0,0,41
"114",459,40,"Josée Verner","1959-12-30","F","2006-04-03","2011-03-26","Louis-Saint-Laurent","QC","C",7818,0,0,41
"115",118,38,"John Godfrey","1942-12-19","M","1994-01-17","2008-09-07","Don Valley West","ON","Lib",7845,0,0,39
"116",7089,35,"Bill Rompkey","","M","1994-01-17","1997-04-27","Labrador","NL","Lib",7908,0,0,36
"117",6633,35,"John Loney","","M","1994-01-17","1997-04-27","Edmonton North","AB","Lib",7953,0,0,36
"118",5024,36,"Mark Assad","","M","1997-09-22","2004-05-23","Gatineau","QC","Lib",7965,0,0,37
"119",257,38,"Gary Schellenberger","1943-09-15","M","2004-10-04","2005-11-29","Perth--Wellington","ON","C",7985,0,0,39
"120",281,38,"Lui Temelkovski","1954-10-04","M","2004-10-04","2008-09-07","Oak Ridges--Markham","ON","Lib",8046,0,0,39
"121",70,37,"Joe Comuzzi","1933-04-05","M","2001-01-29","2007-10-15","Thunder Bay--Superior North","ON","Lib",8227,0,0,38
"122",5235,37,"Alfonso Gagliano","","M","1997-09-22","2004-05-23","Saint-Léonard--Saint-Michel","QC","Lib",8262,0,0,38
"123",58,40,"Bill Casey","1945-02-19","M","2007-06-06","2009-11-09","Cumberland--Colchester--Musquodoboit Valley","NS","Ind.",8305,0,1,41
"124",614,41,"Alice Wong","1948-06-30","F","2008-11-18","2015-10-19","Richmond","BC","C",8369,0,0,42
"125",184,36,"Diane Marleau","1943-06-21","F","1994-01-17","2008-09-07","Sudbury","ON","Lib",8414,0,0,37
"126",2698,37,"David Price","","M","2000-09-12","2004-05-23","Compton--Stanstead","QC","Lib",8417,0,0,38
"127",3518,38,"Paul Devillers","","M","1994-01-17","2005-11-29","Simcoe North","ON","Lib",8428,0,0,39
"128",50,37,"Gerry Byrne","1966-09-27","M","1996-02-27","2015-10-19","Humber--St. Barbe--Baie Verte","NL","Lib",8462,0,0,38
"129",5472,36,"Cliff Breitkreuz","","M","1994-01-17","2000-10-22","Yellowhead","AB","Ref.",8504,0,0,37
"130",180,38,"Gurbax Malhi","1949-10-12","M","2004-10-04","2011-03-26","Bramalea--Gore--Malton","ON","Lib",8641,0,0,39
"131",180,39,"Gurbax Malhi","1949-10-12","M","2004-10-04","2011-03-26","Bramalea--Gore--Malton","ON","Lib",8732,0,0,40
"132",249,38,"Anthony Rota","1961-05-15","M","2004-10-04","2011-03-26","Nipissing--Timiskaming","ON","Lib",8786,0,0,39
"133",120,38,"Peter Goldring","1944-12-12","M","2004-10-04","2011-12-05","Edmonton East","AB","C",8805,0,0,39
"134",149,38,"Nancy Karetak-Lindell","1957-12-10","F","1997-09-22","2008-09-07","Nunavut","NU","Lib",8879,0,0,39
"135",218,38,"Stephen Owen","1948-09-08","M","2001-01-29","2008-03-17","Vancouver Quadra","BC","Lib",8932,0,0,39
"136",5767,36,"Fred Mifflin","","M","1994-01-17","2000-10-22","Bonavista--Trinity--Conception","NL","Lib",8965,0,0,37
"137",106,37,"Joe Fontana","1950-01-13","M","1997-09-22","2006-11-27","London North Centre","ON","Lib",8985,0,0,38
"138",176,35,"Lawrence MacAulay","1946-09-09","M","1994-01-17","","Cardigan","PE","Lib",8992,0,0,36
"139",3574,36,"Rick Limoges","","M","1997-09-22","2000-10-22","Windsor--St. Clair","ON","Lib",9098,0,0,37
"140",3500,37,"Carmen Provenzano","","M","1997-09-22","2004-05-23","Sault Ste. Marie","ON","Lib",9099,0,0,38
"141",180,40,"Gurbax Malhi","1949-10-12","M","2004-10-04","2011-03-26","Bramalea--Gore--Malton","ON","Lib",9120,0,0,41
"142",184,37,"Diane Marleau","1943-06-21","F","1994-01-17","2008-09-07","Sudbury","ON","Lib",9278,0,1,38
"143",5781,35,"Bonnie Hickey","","F","1994-01-17","1997-04-27","St. John's East","NL","Lib",9355,0,0,36
"144",2993,36,"David Kilgour","","M","1994-01-17","2004-05-23","Edmonton Southeast","AB","Lib",9358,0,0,37
"145",118,36,"John Godfrey","1942-12-19","M","1994-01-17","2008-09-07","Don Valley West","ON","Lib",9440,0,0,37
"146",4655,36,"Bob Wood","","M","1994-01-17","2004-05-23","Nipissing","ON","Lib",9492,0,0,37
"147",205,36,"Maria Minna","1948-03-14","F","1997-09-22","2011-03-26","Beaches--East York","ON","Lib",9702,0,0,37
"148",3425,37,"Carolyn Parrish","","F","1997-09-22","2004-05-23","Mississauga Centre","ON","Lib",9781,0,0,38
"149",265,38,"Scott Simms","1969-08-12","M","2004-10-04","2005-11-29","Bonavista--Exploits","NL","Lib",9804,0,1,39
"150",180,36,"Gurbax Malhi","1949-10-12","M","1994-01-17","2000-10-22","Bramalea--Gore--Malton","ON","Lib",9853,0,0,37
"151",156,38,"Maka Kotto","1961-12-07","M","2004-10-04","2008-09-07","Saint-Lambert","QC","B.Q.",9905,0,0,39
"152",4425,36,"Sarkis Assadourian","","M","1997-09-22","2004-05-23","Brampton Centre","ON","Lib",9911,0,0,37
"153",307,40,"Lynne Yelich","1953-03-24","F","2004-10-04","2015-10-19","Blackstrap","SK","C",9923,0,0,41
"154",127,36,"Albina Guarnieri","1953-06-23","F","1994-01-17","2004-05-23","Mississauga East","ON","Lib",10031,0,0,37
"155",35,39,"Raymond Bonin","1942-11-20","M","2001-01-29","2008-09-07","Nickel Belt","ON","Lib",10138,0,0,40
"156",100,38,"Mark Eyking","1960-08-30","M","2001-01-29","","Sydney--Victoria","NS","Lib",10145,0,0,39
"157",3415,38,"Rose-Marie Ur","","F","2004-10-04","2005-11-29","Middlesex--Kent--Lambton","ON","Lib",10152,0,0,39
"158",3410,36,"Pat O'Brien","","M","1997-09-22","2005-06-05","London--Fanshawe","ON","Lib",10194,0,0,37
"159",224,37,"Bernard Patry","1943-01-30","M","1994-01-17","2011-03-26","Pierrefonds--Dollard","QC","Lib",10242,0,0,38
"160",115,38,"Roger Gaudet","1945-05-26","M","2004-10-04","2011-03-26","Montcalm","QC","B.Q.",10270,0,0,39
"161",2584,38,"Tony Ianno","","M","1994-01-17","2005-11-29","Trinity--Spadina","ON","Lib",10286,0,0,39
"162",3500,36,"Carmen Provenzano","","M","1997-09-22","2004-05-23","Sault Ste. Marie","ON","Lib",10312,0,0,37
"163",12,38,"Gérard Asselin","1950-04-19","M","2004-10-04","2011-03-26","Manicouagan","QC","B.Q.",10369,0,1,39
"164",106,39,"Joe Fontana","1950-01-13","M","1997-09-22","2006-11-27","London North Centre","ON","Lib",10463,0,0,40
"165",245,38,"Lee Richardson","1947-10-31","M","2004-10-04","2005-11-29","Calgary South Centre","AB","C",10562,0,0,39
"166",3164,38,"John Reynolds","","M","2004-10-04","2005-11-29","West Vancouver--Sunshine Coast","BC","C",10639,0,1,39
"167",81,36,"Stockwell Day","1950-08-16","M","1999-10-12","2004-05-23","Okanagan--Coquihalla","BC","CA",10719,0,0,37
"168",70,39,"Joe Comuzzi","1933-04-05","M","2007-10-16","2008-09-07","Thunder Bay--Superior North","ON","C",10793,0,0,40
"169",46,38,"Gord Brown","1960-08-31","M","2004-10-04","2015-10-19","Leeds--Grenville","ON","C",10875,0,1,39
"170",20,37,"Colleen Beaumier","1944-11-08","F","1997-09-22","2004-05-23","Brampton West--Mississauga","ON","Lib",10958,0,1,38
"171",550,39,"Joyce Murray","1954-07-11","F","2008-03-18","","Vancouver Quadra","BC","Lib",10962,0,1,40
"172",2301,41,"Bal Gosal","","M","2011-05-02","2015-10-19","Bramalea--Gore--Malton","ON","C",10962,0,0,42
"173",4646,36,"Gary Pillitteri","","M","1994-01-17","2004-05-23","Niagara Falls","ON","Lib",10964,0,0,37
"174",2219,38,"Andy Savoy","","M","2001-01-29","2005-11-29","Tobique--Mactaquac","NB","Lib",11087,0,0,39
"175",299,38,"Tom Wappel","1950-02-09","M","1997-09-22","2008-09-07","Scarborough Southwest","ON","Lib",11204,0,1,39
"176",7,40,"Rob Anders","1972-04-01","M","2004-10-04","2011-03-26","Calgary West","AB","C",11233,0,0,41
"177",68,38,"Denis Coderre","1963-07-25","M","1997-09-22","2013-06-03","Bourassa","QC","Lib",11241,0,0,39
"178",3383,37,"Beth Phinney","","F","1994-01-17","2005-11-29","Hamilton Mountain","ON","Lib",11299,0,5,38
"179",7507,35,"Jean-Robert Gauthier","","M","1994-01-17","1997-04-27","Ottawa--Vanier","ON","Lib",11330,0,0,36
"180",1435,37,"Susan Whelan","","F","1997-09-22","2004-05-23","Essex","ON","Lib",11367,0,0,38
"181",219,38,"Massimo Pacetti","1962-08-22","M","2001-01-29","2014-11-04","Saint-Léonard--Saint-Michel","QC","Lib",11517,0,6,39
"182",4332,36,"George Baker","","M","1994-01-17","2004-05-23","Gander--Grand Falls","NL","Lib",11580,0,0,37
"183",6014,35,"Jag Bhaduria","","M","1994-01-17","1997-04-27","Markham--Whitchurch-Stouffville","ON","Lib",11665,0,0,36
"184",61,37,"Brenda Chamberlain","1952-04-09","F","1994-01-17","2004-05-23","Guelph--Wellington","ON","Lib",11668,0,1,38
"185",89,37,"Stéphane Dion","1955-09-28","M","1996-02-27","2015-10-19","Saint-Laurent--Cartierville","QC","Lib",11713,0,0,38
"186",274,37,"Paul Steckle","1942-05-10","M","1994-01-17","2008-09-07","Huron--Bruce","ON","Lib",11811,0,0,38
"187",88,38,"Ruby Dhalla","1974-02-18","F","2004-10-04","2011-03-26","Brampton--Springdale","ON","Lib",11825,0,0,39
"188",27,37,"Maurizio Bevilacqua","1960-06-01","M","1997-09-22","2004-05-23","Vaughan--King--Aurora","ON","Lib",11837,0,0,38
"189",4589,36,"Ian Murray","","M","1994-01-17","2000-10-22","Lanark--Carleton","ON","Lib",11856,0,0,37
"190",2584,35,"Tony Ianno","","M","1994-01-17","2005-11-29","Trinity--Spadina","ON","Lib",11943,0,0,36
"191",140,38,"Charles Hubbard","1940-10-29","M","1994-01-17","2008-09-07","Miramichi","NB","Lib",12092,0,0,39
"192",3242,38,"R. John Efford","","M","2004-10-04","2005-11-29","Avalon","NL","Lib",12097,0,0,39
"193",3242,37,"R. John Efford","","M","2001-01-29","2004-05-23","Bonavista--Trinity--Conception","NL","Lib",12214,0,0,38
"194",7,38,"Rob Anders","1972-04-01","M","2004-10-04","2011-03-26","Calgary West","AB","C",12233,0,0,39
"195",6410,36,"Sheila Finestone","","F","1994-01-17","2000-10-22","Mount Royal","QC","Lib",12343,0,0,37
"196",6237,36,"Shaughnessy Cohen","","F","1994-01-17","2000-10-22","Windsor--St. Clair","ON","Lib",12348,0,0,37
"197",70,35,"Joe Comuzzi","1933-04-05","M","1994-01-17","2000-10-22","Thunder Bay--Nipigon","ON","Lib",12366,0,0,36
"198",48,38,"Paule Brunelle","1953-08-21","F","2004-10-04","2011-03-26","Trois-Rivières","QC","B.Q.",12372,0,1,39
"199",194,35,"Joe McGuire","1944-06-20","M","1994-01-17","2008-09-07","Egmont","PE","Lib",12386,0,0,36
"200",1698,37,"Walt Lastewka","","M","1994-01-17","2005-11-29","St. Catharines","ON","Lib",12458,0,0,38
"201",140,37,"Charles Hubbard","1940-10-29","M","1994-01-17","2008-09-07","Miramichi","NB","Lib",12504,0,0,38
"202",1698,38,"Walt Lastewka","","M","1994-01-17","2005-11-29","St. Catharines","ON","Lib",12519,0,0,39
"203",227,38,"Jim Peterson","1941-07-30","M","1994-01-17","2008-03-17","Willowdale","ON","Lib",12558,0,1,39
"204",3028,38,"Dale Johnston","","M","2004-10-04","2005-11-29","Wetaskiwin","AB","C",12579,0,0,39
"205",140,36,"Charles Hubbard","1940-10-29","M","1994-01-17","2008-09-07","Miramichi","NB","Lib",12585,0,0,37
"206",127,40,"Albina Guarnieri","1953-06-23","F","2004-10-04","2011-03-26","Mississauga East--Cooksville","ON","Lib",12634,0,2,41
"207",282,38,"Louise Thibault","","F","2004-10-04","2005-11-29","Rimouski--Témiscouata","QC","B.Q.",12764,0,0,39
"208",91,38,"Norman Doyle","1945-11-11","M","2004-10-04","2005-11-29","St. John's North","NL","C",12791,0,0,39
"209",187,39,"Paul Martin","1938-08-28","M","1994-01-17","2008-09-07","LaSalle--Émard","QC","Lib",12818,0,1,40
"210",4118,36,"Lou Sekora","","M","1997-09-22","2000-10-22","Port Moody--Coquitlam","BC","Lib",12858,0,0,37
"211",2599,37,"Judi Longfield","","F","1997-09-22","2004-05-23","Whitby--Ajax","ON","Lib",12896,0,0,38
"212",9294,41,"Jim Eglinski","","M","2014-11-17","","Yellowhead","AB","C",12940,0,0,42
"213",183,38,"Inky Mark","1947-11-17","M","2004-10-04","2005-11-29","Dauphin--Swan River","MB","C",12943,0,5,39
"214",4697,37,"Eugène Bellemare","","M","2001-01-29","2004-05-23","Ottawa--Orléans","ON","Lib",13032,0,3,38
"215",406,40,"Dawn Black","1943-04-01","F","2006-04-03","2009-12-30","New Westminster--Coquitlam","BC","N.D.P.",13095,0,7,41
"216",274,38,"Paul Steckle","1942-05-10","M","1994-01-17","2008-09-07","Huron--Bruce","ON","Lib",13106,0,0,39
"217",294,38,"Roger Valley","1957-01-28","M","2004-10-04","2008-09-07","Kenora","ON","Lib",13275,0,0,39
"218",157,38,"Daryl Kramp","1947-06-14","M","2004-10-04","2015-10-19","Prince Edward--Hastings","ON","C",13320,0,2,39
"219",2584,36,"Tony Ianno","","M","1994-01-17","2005-11-29","Trinity--Spadina","ON","Lib",13346,0,0,37
